server time,value,UM,board time,latitude,longitude
2022-06-29 14:46:43.560,200,,2022-06-29 14:46:43.507,,
2022-06-29 14:47:45.433,200,,2022-06-29 14:47:45.387,,
2022-06-29 14:48:47.153,200,,2022-06-29 14:48:47.107,,
2022-06-29 14:49:48.957,200,,2022-06-29 14:49:48.897,,
2022-06-29 14:50:50.673,200,,2022-06-29 14:50:50.590,,
2022-06-29 14:51:52.457,200,,2022-06-29 14:51:52.410,,
2022-06-29 14:52:55.273,200,,2022-06-29 14:52:54.980,,
2022-06-29 14:53:57.177,200,,2022-06-29 14:53:57.097,,
2022-06-29 14:54:58.930,200,,2022-06-29 14:54:58.873,,
2022-06-29 14:56:01.150,200,,2022-06-29 14:56:01.077,,
2022-06-29 14:57:02.870,200,,2022-06-29 14:57:02.810,,
2022-06-29 14:58:04.797,199,,2022-06-29 14:58:04.730,,
2022-06-29 14:59:06.527,200,,2022-06-29 14:59:06.460,,
2022-06-29 15:00:08.233,200,,2022-06-29 15:00:08.190,,
2022-06-29 15:01:10.227,200,,2022-06-29 15:01:10.177,,
2022-06-29 15:02:13.540,200,,2022-06-29 15:02:13.480,,
2022-06-29 15:03:17.883,199,,2022-06-29 15:03:17.837,,
2022-06-29 15:04:20.170,200,,2022-06-29 15:04:20.123,,
2022-06-29 15:05:23.457,200,,2022-06-29 15:05:23.407,,
2022-06-29 15:06:26.477,200,,2022-06-29 15:06:26.420,,
2022-06-29 15:07:30.440,200,,2022-06-29 15:07:30.393,,
2022-06-29 15:08:32.897,199,,2022-06-29 15:08:32.843,,
2022-06-29 15:09:35.357,200,,2022-06-29 15:09:35.303,,
2022-06-29 15:10:37.237,200,,2022-06-29 15:10:37.137,,
2022-06-29 15:11:39.677,200,,2022-06-29 15:11:39.027,,
2022-06-29 15:12:41.287,200,,2022-06-29 15:12:40.970,,
2022-06-29 15:13:43.597,199,,2022-06-29 15:13:43.550,,
2022-06-29 15:14:45.727,200,,2022-06-29 15:14:45.657,,
2022-06-29 15:15:47.477,200,,2022-06-29 15:15:47.390,,
2022-06-29 15:16:49.207,200,,2022-06-29 15:16:49.147,,
2022-06-29 15:17:51.230,200,,2022-06-29 15:17:50.970,,
2022-06-29 15:18:52.760,200,,2022-06-29 15:18:52.710,,
2022-06-29 15:19:55.383,199,,2022-06-29 15:19:55.320,,
2022-06-29 15:20:57.183,200,,2022-06-29 15:20:57.110,,
2022-06-29 15:21:58.950,200,,2022-06-29 15:21:58.897,,
2022-06-29 15:23:00.830,187,,2022-06-29 15:23:00.763,,
2022-06-29 15:24:02.663,174,,2022-06-29 15:24:02.590,,
2022-06-29 15:25:04.913,165,,2022-06-29 15:25:04.853,,
2022-06-29 15:26:06.670,158,,2022-06-29 15:26:06.633,,
2022-06-29 15:27:08.697,152,,2022-06-29 15:27:08.653,,
